iter	Passed	Remaining
428	1630	2169
429	1633	2165
430	1636	2161
431	1640	2156
432	1643	2152
433	1647	2147
434	1650	2144
435	1654	2139
436	1657	2135
437	1660	2130
438	1664	2126
439	1667	2122
440	1670	2117
441	1673	2112
442	1676	2108
443	1680	2104
444	1683	2099
445	1686	2095
446	1689	2090
447	1693	2086
448	1696	2082
449	1699	2077
450	1703	2073
451	1706	2068
452	1709	2064
453	1712	2059
454	1716	2055
455	1719	2051
456	1722	2046
457	1725	2042
458	1729	2038
459	1732	2033
460	1735	2029
461	1739	2025
462	1742	2021
463	1746	2016
464	1749	2012
465	1752	2008
466	1756	2004
467	1760	2001
468	1764	1997
469	1767	1993
470	1770	1988
471	1773	1984
472	1777	1980
473	1780	1975
474	1783	1971
475	1786	1967
476	1790	1962
477	1793	1958
478	1796	1954
479	1799	1949
480	1803	1945
481	1806	1941
482	1809	1937
483	1813	1933
484	1816	1928
485	1819	1924
486	1823	1920
487	1826	1916
488	1829	1912
489	1833	1907
490	1836	1903
491	1839	1899
492	1842	1895
493	1846	1890
494	1849	1886
495	1852	1882
496	1855	1878
497	1859	1874
498	1862	1869
499	1865	1865
500	1869	1861
501	1872	1857
502	1876	1853
503	1879	1849
504	1882	1845
505	1886	1841
506	1889	1837
507	1892	1832
508	1895	1828
509	1898	1824
510	1902	1820
511	1905	1816
512	1908	1811
513	1911	1807
514	1915	1803
515	1918	1799
516	1921	1795
517	1924	1791
518	1928	1787
519	1931	1782
520	1934	1778
521	1938	1774
522	1941	1770
523	1944	1766
524	1948	1762
525	1952	1759
526	1955	1755
527	1959	1751
528	1962	1747
529	1965	1743
530	1969	1739
531	1972	1735
532	1976	1731
533	1979	1727
534	1982	1723
535	1986	1719
536	1989	1715
537	1993	1711
538	1996	1707
539	2000	1703
540	2003	1699
541	2006	1695
542	2010	1691
543	2013	1688
544	2017	1684
545	2020	1680
546	2024	1676
547	2027	1672
548	2031	1668
549	2034	1664
550	2037	1660
551	2041	1656
552	2044	1652
553	2048	1649
554	2051	1644
555	2054	1640
556	2058	1637
557	2062	1633
558	2065	1629
559	2068	1625
560	2072	1621
561	2075	1617
562	2078	1613
563	2081	1609
564	2085	1605
565	2088	1601
566	2092	1597
567	2095	1593
568	2098	1589
569	2102	1585
570	2105	1582
571	2109	1578
572	2112	1574
573	2116	1570
574	2119	1566
575	2123	1563
576	2126	1559
577	2129	1555
578	2133	1550
579	2136	1546
580	2139	1542
581	2142	1539
582	2146	1534
583	2149	1530
584	2152	1526
585	2155	1522
586	2158	1518
587	2161	1514
588	2165	1510
589	2168	1506
590	2171	1502
591	2174	1498
592	2177	1494
593	2181	1490
594	2184	1486
595	2187	1482
596	2190	1478
597	2193	1474
598	2197	1470
599	2200	1466
600	2203	1462
601	2206	1459
602	2210	1455
603	2213	1451
604	2217	1447
605	2220	1443
606	2223	1439
607	2227	1435
608	2230	1432
609	2233	1428
610	2236	1424
611	2240	1420
612	2243	1416
613	2246	1412
614	2250	1408
615	2253	1404
616	2256	1400
617	2260	1397
618	2263	1393
619	2266	1389
620	2269	1385
621	2273	1381
622	2276	1377
623	2280	1373
624	2283	1370
625	2286	1366
626	2290	1362
627	2293	1358
628	2296	1354
629	2300	1350
630	2303	1346
631	2306	1343
632	2309	1339
633	2313	1335
634	2316	1331
635	2319	1327
636	2323	1323
637	2326	1319
638	2329	1316
639	2332	1312
640	2335	1308
641	2339	1304
642	2342	1300
643	2345	1296
644	2349	1292
645	2352	1289
646	2355	1285
647	2358	1281
648	2362	1277
649	2365	1273
650	2368	1269
651	2372	1266
652	2376	1262
653	2379	1258
654	2382	1254
655	2385	1251
656	2389	1247
657	2392	1243
658	2395	1239
659	2398	1235
660	2402	1231
661	2405	1228
662	2408	1224
663	2411	1220
664	2414	1216
665	2418	1212
666	2421	1209
667	2424	1205
668	2428	1201
669	2431	1197
670	2434	1193
671	2438	1190
672	2442	1186
673	2446	1183
674	2449	1179
675	2453	1175
676	2456	1171
677	2459	1168
678	2463	1164
679	2466	1160
680	2470	1157
681	2473	1153
682	2476	1149
683	2479	1145
684	2483	1141
685	2486	1138
686	2489	1134
687	2492	1130
688	2495	1126
689	2499	1122
690	2502	1119
691	2506	1115
692	2509	1111
693	2512	1107
694	2516	1104
695	2519	1100
696	2523	1096
697	2526	1093
698	2529	1089
699	2533	1085
700	2536	1081
701	2539	1078
702	2542	1074
703	2546	1070
704	2549	1066
705	2553	1063
706	2556	1059
707	2560	1055
708	2564	1052
709	2568	1048
710	2571	1045
711	2575	1041
712	2579	1038
713	2582	1034
714	2586	1030
715	2589	1027
716	2593	1023
717	2596	1019
718	2600	1016
719	2604	1012
720	2607	1009
721	2610	1005
722	2614	1001
723	2617	997
724	2620	994
725	2623	990
726	2626	986
727	2630	982
728	2633	978
729	2636	975
730	2640	971
731	2643	967
732	2646	963
733	2649	960
734	2653	956
735	2656	952
736	2660	949
737	2663	945
738	2666	941
739	2669	938
740	2673	934
741	2676	930
742	2679	926
743	2682	923
744	2685	919
745	2689	915
746	2692	911
747	2695	908
748	2698	904
749	2702	900
750	2705	897
751	2708	893
752	2712	889
753	2715	886
754	2719	882
755	2722	878
756	2725	874
757	2728	871
758	2732	867
759	2735	863
760	2738	860
761	2741	856
762	2744	852
763	2748	848
764	2751	845
765	2754	841
766	2757	837
767	2761	834
768	2764	830
769	2767	826
770	2771	823
771	2774	819
772	2777	815
773	2781	812
774	2784	808
775	2787	804
776	2790	800
777	2794	797
778	2797	793
779	2800	789
780	2804	786
781	2807	782
782	2810	778
783	2813	775
784	2816	771
785	2820	767
786	2823	764
787	2826	760
788	2829	756
789	2833	753
790	2836	749
791	2839	745
792	2843	742
793	2846	738
794	2849	734
795	2853	731
796	2856	727
797	2859	723
798	2862	720
799	2866	716
800	2869	712
801	2872	709
802	2876	705
803	2879	701
804	2882	698
805	2886	694
806	2889	691
807	2892	687
808	2896	683
809	2899	680
810	2902	676
811	2905	672
812	2909	669
813	2912	665
814	2915	661
815	2918	658
816	2922	654
817	2925	650
818	2928	647
819	2931	643
820	2935	639
821	2938	636
822	2941	632
823	2944	629
824	2948	625
825	2952	621
826	2956	618
827	2959	614
828	2962	611
829	2966	607
830	2970	604
831	2973	600
832	2977	596
833	2980	593
834	2984	589
835	2987	586
836	2990	582
837	2994	578
838	2997	575
839	3000	571
840	3003	567
841	3006	564
842	3010	560
843	3013	556
844	3016	553
845	3019	549
846	3022	546
847	3025	542
848	3029	538
849	3032	535
850	3035	531
851	3038	527
852	3042	524
853	3045	520
854	3048	517
855	3051	513
856	3055	509
857	3058	506
858	3063	502
859	3067	499
860	3071	495
861	3075	492
862	3079	488
863	3084	485
864	3087	481
865	3091	478
866	3095	474
867	3099	471
868	3103	467
869	3106	464
870	3109	460
871	3113	456
872	3116	453
873	3119	449
874	3122	446
875	3126	442
876	3129	438
877	3132	435
878	3135	431
879	3139	428
880	3142	424
881	3145	420
882	3148	417
883	3152	413
884	3155	410
885	3158	406
886	3161	402
887	3165	399
888	3168	395
889	3171	391
890	3175	388
891	3178	384
892	3182	381
893	3185	377
894	3189	374
895	3192	370
896	3195	366
897	3199	363
898	3202	359
899	3206	356
900	3210	352
901	3214	349
902	3218	345
903	3222	342
904	3225	338
905	3229	335
906	3233	331
907	3237	327
908	3240	324
909	3244	320
910	3248	317
911	3251	313
912	3254	310
913	3258	306
914	3261	303
915	3265	299
916	3268	295
917	3272	292
918	3275	288
919	3279	285
920	3283	281
921	3286	278
922	3290	274
923	3294	270
924	3297	267
925	3301	263
926	3304	260
927	3308	256
928	3312	253
929	3316	249
930	3320	246
931	3324	242
932	3329	239
933	3333	235
934	3337	232
935	3341	228
936	3346	224
937	3350	221
938	3353	217
939	3357	214
940	3360	210
941	3364	207
942	3367	203
943	3371	199
944	3374	196
945	3378	192
946	3381	189
947	3386	185
948	3389	182
949	3393	178
950	3397	175
951	3400	171
952	3403	167
953	3407	164
954	3411	160
955	3415	157
956	3419	153
957	3422	150
958	3426	146
959	3430	142
960	3433	139
961	3437	135
962	3441	132
963	3444	128
964	3448	125
965	3451	121
966	3455	117
967	3458	114
968	3461	110
969	3465	107
970	3468	103
971	3471	100
972	3474	96
973	3478	92
974	3482	89
975	3485	85
976	3488	82
977	3491	78
978	3495	74
979	3498	71
980	3501	67
981	3505	64
982	3508	60
983	3512	57
984	3515	53
985	3518	49
986	3522	46
987	3525	42
988	3528	39
989	3532	35
990	3535	32
991	3538	28
992	3541	24
993	3545	21
994	3548	17
995	3551	14
996	3554	10
997	3558	7
998	3562	3
999	3565	0
