iter	Logloss
114	0.2850409144
115	0.2843766196
116	0.28408427
117	0.2836855419
118	0.2833471154
119	0.2830421578
120	0.282561141
121	0.2822513967
122	0.2819519103
123	0.2815979458
124	0.2811495149
125	0.2807375875
126	0.2804647569
127	0.2801160048
128	0.2797825408
129	0.2790663336
130	0.2787846482
131	0.2782832142
132	0.278054387
133	0.2777284452
134	0.2775346038
135	0.2772018813
136	0.2768581126
137	0.2765164528
138	0.276159827
139	0.2757734555
140	0.2752462222
141	0.2749897898
142	0.2746303247
143	0.2744213152
144	0.2738756763
145	0.2736395669
146	0.2733123971
147	0.2730041676
148	0.2727574006
149	0.2725818078
150	0.2723912645
151	0.2720977269
152	0.2718784879
153	0.2717046885
154	0.271396166
155	0.2712419449
156	0.2709858506
157	0.2705961978
158	0.2703179574
159	0.2699006605
160	0.2696876016
161	0.2694482311
162	0.2693030057
163	0.2689532463
164	0.2686776275
165	0.2684535473
166	0.268205511
167	0.2680576367
168	0.2677957628
169	0.2675077352
170	0.2671272074
171	0.2666622939
172	0.2664679636
173	0.266247444
174	0.2657507177
175	0.2654032386
176	0.2652488443
177	0.2648579257
178	0.2647018127
179	0.2641092816
180	0.2634867804
181	0.263271887
182	0.2630666849
183	0.2625838061
184	0.2624233123
185	0.2622162646
186	0.2619962169
187	0.2617815583
188	0.2615758141
189	0.2613489667
190	0.2611576103
191	0.2609024868
192	0.2606404984
193	0.2602207088
194	0.2600587611
195	0.2597608923
196	0.2595746327
197	0.2593008541
198	0.2590578677
199	0.2588195014
200	0.2585527517
201	0.2584293021
202	0.258237767
203	0.2579257915
204	0.2576136034
205	0.2574317647
206	0.2571545156
207	0.257025969
208	0.2567263688
209	0.2564946785
210	0.2562442025
211	0.255994893
212	0.2558255075
213	0.2556765848
214	0.2555154665
215	0.255375292
216	0.2550563448
217	0.2547883046
218	0.2546637429
219	0.2544057575
220	0.2542161133
221	0.253968405
222	0.2538150664
223	0.2535398765
224	0.2534081496
225	0.2531716382
226	0.2530202802
227	0.2529011157
228	0.2526890022
229	0.2525324419
230	0.2523511425
231	0.2520837482
232	0.2519246098
233	0.2517871221
234	0.2516357708
235	0.2514775958
236	0.2510950708
237	0.2508952404
238	0.2506010037
239	0.2503826029
240	0.2502817793
241	0.2501668163
242	0.2499248293
243	0.249806097
244	0.2496061566
245	0.2494475464
246	0.2493213425
247	0.2490906118
248	0.2489212195
249	0.2486532171
250	0.2484044696
251	0.2482997117
252	0.2481294271
253	0.2479010625
254	0.2477027839
255	0.2472980795
256	0.2471010337
257	0.2468765917
258	0.246569544
259	0.2463755634
260	0.2461702057
261	0.2459339476
262	0.2457188973
263	0.245388844
264	0.2452239534
265	0.2450309671
266	0.244867552
267	0.2446520285
268	0.2443686748
269	0.2441151013
270	0.2439291453
271	0.2437145214
272	0.2435312336
273	0.2432007671
274	0.2429860485
275	0.2428472922
276	0.2426727404
277	0.2424951218
278	0.242367147
279	0.2421653742
280	0.24203746
281	0.2418331443
282	0.2414180309
283	0.2412523269
284	0.2410881812
285	0.2408136329
286	0.2406828152
287	0.2404617843
288	0.2403733264
289	0.2400123864
290	0.2397367206
291	0.2395309964
292	0.2393107763
293	0.2390513688
294	0.2388626286
295	0.238616057
296	0.2384080303
297	0.2383268936
298	0.2381668238
299	0.2379245266
300	0.2377340839
301	0.2375793418
302	0.2373389383
303	0.2372135272
304	0.2369960064
305	0.236788821
306	0.2365639767
307	0.2363474914
308	0.2362560499
309	0.2360014351
310	0.2358928789
311	0.2356449498
312	0.2355155779
313	0.2353809377
314	0.2352356791
315	0.2350601903
316	0.2348185648
317	0.2342847083
318	0.2341401783
319	0.2339981868
320	0.2338668035
321	0.2336344234
322	0.2333268808
323	0.2329236085
324	0.2327640874
325	0.2326077383
326	0.2324005552
327	0.2322566339
328	0.2319826454
329	0.231702068
330	0.2315287675
331	0.2313375725
332	0.2311147554
333	0.2309353057
334	0.2307770911
335	0.2305620914
336	0.2302534591
337	0.2300041823
338	0.2298223985
339	0.2296990235
340	0.2292437277
341	0.2290342547
342	0.228934576
343	0.2287577726
344	0.2286532597
345	0.2284450684
346	0.2281560314
347	0.2280732708
348	0.2277194616
349	0.2274512361
350	0.2272818648
351	0.2270022251
352	0.2267619322
353	0.2265088207
354	0.2263304157
355	0.2261912724
356	0.2259721629
357	0.2256521694
358	0.2254713461
359	0.2252690824
360	0.2250963245
361	0.2247744867
362	0.2245781254
363	0.2244293749
364	0.2240756292
365	0.2236669995
366	0.2234937493
367	0.2232267162
368	0.2230749039
369	0.2229082199
370	0.2226685028
371	0.2225603225
372	0.2223445792
373	0.2221303969
374	0.2219646966
375	0.2218114262
376	0.221653433
377	0.2213691497
378	0.2211981486
379	0.2210771118
380	0.2209786249
381	0.220859672
382	0.2207771661
383	0.2206073004
384	0.2201473879
385	0.2200337341
386	0.219740552
387	0.2195738339
388	0.2194719512
389	0.2192885941
390	0.2191197998
391	0.2188617762
392	0.2186422133
393	0.2184774119
394	0.2182567327
395	0.2180761607
396	0.2178764045
397	0.2176326826
398	0.2173663116
399	0.2172367667
400	0.21707959
401	0.2169309883
402	0.2164404152
403	0.21624329
404	0.2160650719
405	0.2159334242
406	0.2157686559
407	0.2155996499
408	0.2154063001
409	0.2152198811
410	0.214999616
411	0.2147930774
412	0.2145933347
413	0.2144861249
414	0.2143317976
415	0.2140972276
416	0.2139364191
417	0.2137841305
418	0.21356943
419	0.213399742
420	0.2131626229
421	0.2129047999
422	0.212760718
423	0.2126090999
424	0.2124737465
425	0.2123405368
426	0.212198197
427	0.2120463981
428	0.2118264605
429	0.2116318058
430	0.2114584337
431	0.2113211898
432	0.211171847
433	0.2110260686
434	0.2108688487
435	0.210785244
436	0.2106831615
437	0.2106046713
438	0.2104074048
439	0.2102586511
440	0.2101302524
441	0.2100086449
442	0.2098091963
443	0.2097047558
444	0.2096283695
445	0.2095512532
446	0.2094164863
447	0.2092628627
448	0.2091262983
449	0.2090093193
450	0.2088852961
451	0.2087549171
452	0.2085807314
453	0.2084023232
454	0.2082773271
455	0.2080554718
456	0.2079031063
457	0.207696928
458	0.2075378473
459	0.207397435
460	0.2072781528
461	0.2071310118
462	0.2069798416
463	0.2068701899
464	0.2067088144
465	0.2065693746
466	0.206413421
467	0.2062803821
468	0.2061522855
469	0.2060596209
470	0.2058742091
471	0.205641295
472	0.2054597658
473	0.2052897221
474	0.2051417891
475	0.2050296992
476	0.2047610172
477	0.2045421877
478	0.2043619285
479	0.2040341204
480	0.2039113953
481	0.2037848782
482	0.2036230097
483	0.2034898631
484	0.2034131896
485	0.2033009452
486	0.2031633732
487	0.2030429714
488	0.2028765021
489	0.2027329178
490	0.2025038131
491	0.2023948818
492	0.2023191458
493	0.2021887017
494	0.2020388426
495	0.2019245657
496	0.2017566383
497	0.2016249794
498	0.201519955
499	0.2014300691
500	0.2012366872
501	0.2011261737
502	0.2010526087
503	0.200840923
504	0.2006335332
505	0.2004713123
506	0.2003270484
507	0.2002265654
508	0.2001140191
509	0.1999728403
510	0.199818962
511	0.199678089
512	0.1995009953
513	0.1993779244
514	0.1992688151
515	0.1991481143
516	0.1989925097
517	0.198871325
518	0.1987480334
519	0.1986065934
520	0.1984951782
521	0.1982993055
522	0.1981680468
523	0.1980650453
524	0.1978978043
525	0.1976950181
526	0.1975262854
527	0.1973953531
528	0.197247226
529	0.1970508449
530	0.1969309867
531	0.1967924403
532	0.1966059052
533	0.19648432
534	0.1963489529
535	0.1962809283
536	0.1961592383
537	0.1960472288
538	0.1958418572
539	0.1956690271
540	0.1955832575
541	0.1952662246
542	0.1951563236
543	0.1950574675
544	0.1948693907
545	0.1947284612
546	0.1946337913
547	0.1945127721
548	0.1944136137
549	0.1942506388
550	0.1941549279
551	0.1940238219
552	0.1938896153
553	0.1937933812
554	0.1936938531
555	0.193560964
556	0.1934418801
557	0.1932550351
558	0.1931576926
559	0.1930447491
560	0.1929838011
561	0.1928547718
562	0.192797496
563	0.1926822075
564	0.1925457499
565	0.1923079073
566	0.1922368434
567	0.1920717761
568	0.1919903435
569	0.1919082001
570	0.1918239793
571	0.1916680017
572	0.1915713862
573	0.1914544179
574	0.1913648638
575	0.1912646286
576	0.1911815142
577	0.1910332298
578	0.190914731
579	0.1907939733
580	0.190665962
581	0.1905338946
582	0.1904383613
583	0.1903590095
584	0.1902785481
585	0.1902061571
586	0.1901079094
587	0.1900131618
588	0.1899280626
589	0.1898055899
590	0.1897029698
591	0.1895799506
592	0.1894039368
593	0.1892392151
594	0.1891610464
595	0.1890538578
596	0.1889161177
597	0.188728165
598	0.1886156039
599	0.188481205
600	0.1883192311
601	0.1882146189
602	0.1880761735
603	0.1879235712
604	0.1877257095
605	0.1876228529
606	0.1874832324
607	0.1873722715
608	0.1872216261
609	0.1871448763
610	0.1870550443
611	0.1869440439
612	0.1868380975
613	0.1867257346
614	0.1866266785
615	0.1865611177
616	0.1863924652
617	0.1862669248
618	0.186155825
619	0.1860354367
620	0.1859544535
621	0.1858563318
622	0.1857604734
623	0.1856209787
624	0.1854157907
625	0.1852996162
626	0.1852364218
627	0.1850869342
628	0.1849760369
629	0.1849060111
630	0.184811762
631	0.1847146807
632	0.1846112838
633	0.1844945086
634	0.1843913459
635	0.1843115079
636	0.1841807739
637	0.1840676828
638	0.1840021762
639	0.1838744628
640	0.1838208978
641	0.1837275016
642	0.1836238678
643	0.1834063386
644	0.1832706447
645	0.1832042131
646	0.1831392664
647	0.1830469426
648	0.1829483909
649	0.1828812844
650	0.1827785282
651	0.1826263448
652	0.1825165988
653	0.1823796475
654	0.1823220714
655	0.1820958332
656	0.1820140737
657	0.181927629
658	0.1818745772
659	0.1817659631
660	0.181681443
661	0.1815919651
662	0.1814704456
663	0.1813478578
664	0.1812439107
665	0.1811597114
666	0.1810109203
667	0.1809547004
668	0.1808843371
669	0.1807430138
670	0.180643723
671	0.1805263816
672	0.1804555272
673	0.1803737866
674	0.1802494225
675	0.1801550108
676	0.1800832917
677	0.179986471
678	0.1799158619
679	0.1798062135
680	0.1796839552
681	0.1795931754
682	0.1795361225
683	0.1794962507
684	0.1794015474
685	0.1793161662
686	0.1792010379
687	0.1790835533
688	0.1789914305
689	0.1788797237
690	0.1787019426
691	0.1786364582
692	0.1785327363
693	0.1783315466
694	0.1782487358
695	0.1781038535
696	0.1780275562
697	0.1779514684
698	0.177853362
699	0.1776365701
700	0.1775254618
701	0.1774129572
702	0.1772714602
703	0.1771203939
704	0.1770500767
705	0.176965793
706	0.1768941418
707	0.1768182006
708	0.1766865441
709	0.1765567141
710	0.1764342265
711	0.1763187275
712	0.1762300425
713	0.1760863371
714	0.1759808821
715	0.17592403
716	0.1757751061
717	0.1756979355
718	0.1756152637
719	0.1755167389
720	0.1754501528
721	0.1753497837
722	0.1752587622
723	0.1751224919
724	0.174994825
725	0.1749210259
726	0.1747853746
727	0.1746601525
728	0.1745426349
729	0.1743851944
730	0.1742810268
731	0.1742023416
732	0.1741561705
733	0.1740365342
734	0.1739468122
735	0.1738703166
736	0.1737578052
737	0.1736851445
738	0.1736101977
739	0.1735226509
740	0.1734088866
741	0.1733228998
742	0.1732544258
743	0.1731809844
744	0.1730832043
745	0.1729909051
746	0.1729184661
747	0.1728261981
748	0.1727636126
749	0.1726836429
750	0.1725447724
751	0.1724372441
752	0.1723400205
753	0.1722312726
754	0.1721402923
755	0.1720616333
756	0.1719708258
757	0.1718413805
758	0.1717596226
759	0.171691332
760	0.1716238761
761	0.1714950347
762	0.1714264878
763	0.17136888
764	0.1712763977
765	0.1712165939
766	0.171163716
767	0.171106471
768	0.1710045722
769	0.1708870517
770	0.1708254296
771	0.1707587657
772	0.1706927806
773	0.1705903723
774	0.1704690003
775	0.1703701933
776	0.1702864043
777	0.1701802808
778	0.1700782425
779	0.1700203443
780	0.1699065013
781	0.1698527793
782	0.1697438131
783	0.1696635273
784	0.1695699759
785	0.1694988668
786	0.1694300098
787	0.1693216296
788	0.1692372492
789	0.1691902284
790	0.1691468708
791	0.1690564166
792	0.1688447484
793	0.1687607695
794	0.1686933355
795	0.1686656986
796	0.168570701
797	0.1684668582
798	0.1683737278
799	0.1683180165
800	0.1682538488
801	0.1681215576
802	0.1679848694
803	0.1678985348
804	0.1678436965
805	0.1677632521
806	0.1676917934
807	0.1676361907
808	0.1675313618
809	0.1674452875
810	0.1673691307
811	0.1672657664
812	0.1672135933
813	0.1671589054
814	0.1670667725
815	0.1668763872
816	0.16678919
817	0.1666844409
818	0.1665492661
819	0.1664764285
820	0.1664105733
821	0.1663422097
822	0.1662453298
823	0.1661715188
824	0.1660536907
825	0.1659545996
826	0.1658359638
827	0.1657494005
828	0.1656412148
829	0.1655155006
830	0.1654541449
831	0.165400988
832	0.1653124812
833	0.1652416104
834	0.1651497794
835	0.1650669993
836	0.1649549702
837	0.1648503561
838	0.1647909867
839	0.164702672
840	0.1645547882
841	0.164471012
842	0.1643965603
843	0.1643132152
844	0.1642151111
845	0.164152826
846	0.1640989342
847	0.1640398308
848	0.1639471906
849	0.1638825158
850	0.163781378
851	0.1637085889
852	0.1636593112
853	0.1635716519
854	0.1634663058
855	0.1633546386
856	0.1632837468
857	0.1632123003
858	0.1631427219
859	0.1630588242
860	0.1629895887
861	0.1628981582
862	0.1628052694
863	0.1626696637
864	0.1625971321
865	0.1625416991
866	0.1624619102
867	0.1624145767
868	0.16228607
869	0.1622174112
870	0.1621541602
871	0.1620592755
872	0.1619917807
873	0.1619325201
874	0.1618410426
875	0.1617570461
876	0.1616339113
877	0.161564777
878	0.1615324445
879	0.1614831077
880	0.1614283287
881	0.1613922247
882	0.16130334
883	0.1612276287
884	0.1611654742
885	0.1610484996
886	0.1609161708
887	0.1608165129
888	0.1607566166
889	0.1607281743
890	0.1606794959
891	0.1606299031
892	0.1605727808
893	0.1605006077
894	0.1604308167
895	0.1603483907
896	0.1602841065
897	0.1602106137
898	0.160152434
899	0.160009306
900	0.1599210913
901	0.1598497434
902	0.1597905937
903	0.1597023011
904	0.1596349416
905	0.1595658319
906	0.1594898712
907	0.1593855872
908	0.1593322437
909	0.1592180699
910	0.1591300312
911	0.1590253571
912	0.1589735939
913	0.1589142433
914	0.1588442512
915	0.1587682428
916	0.1587239738
917	0.1586532249
918	0.1585768119
919	0.1584559903
920	0.1583736718
921	0.1582992952
922	0.1582128544
923	0.1581591868
924	0.1581007774
925	0.1580170252
926	0.1579333302
927	0.1578578775
928	0.157760373
929	0.1577060112
930	0.1576204633
931	0.1575339741
932	0.157456126
933	0.1573973168
934	0.157313623
935	0.1572049594
936	0.1571321136
937	0.157086123
938	0.1569996987
939	0.156965617
940	0.1568660394
941	0.1568075095
942	0.1566754066
943	0.1565866947
944	0.156531296
945	0.1564434529
946	0.1563879148
947	0.1563185214
948	0.1562360239
949	0.1561300984
950	0.1560279807
951	0.1559160018
952	0.1558397251
953	0.1557557091
954	0.1557090629
955	0.1556575452
956	0.1556261591
957	0.1555657195
958	0.1555111329
959	0.1554495171
960	0.1554020233
961	0.1553531207
962	0.1552938068
963	0.1552430285
964	0.1551252707
965	0.1550310915
966	0.1549583648
967	0.1548911033
968	0.1548163532
969	0.1547709665
970	0.1547124169
971	0.1546667957
972	0.1546246812
973	0.1545332299
974	0.15442404
975	0.1542913011
976	0.1542442753
977	0.1541840552
978	0.1541080675
979	0.1539964483
980	0.1539137496
981	0.1538344238
982	0.1537170797
983	0.1536353233
984	0.1535422683
985	0.1534240618
986	0.1533514313
987	0.1532836117
988	0.153201587
989	0.1531615007
990	0.1531020771
991	0.1530558089
992	0.1530194216
993	0.152941667
994	0.152891476
995	0.1528174377
996	0.1527736029
997	0.1527317923
998	0.1526127707
999	0.152572018
